source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
78aa899d-5f94-e511-814c-000c2902c387	Dependoparvovirus primate1	RG1	1511891	Dependoparvovirus primate1	Adeno-associated dependoparvovirus A
78c008ae-b3e1-e711-8113-0050568253d3	Alphabaculovirus leseparatae	RG1	3048181	Alphabaculovirus leseparatae	Leucania separata nucleopolyhedrovirus
794f0c27-6094-e511-814c-000c2902c387	Rubivirus rubellae	RG2	2846071	Rubivirus rubellae	Rubella virus
796e2a09-6094-e511-814c-000c2902c387	Leporipoxvirus myxoma	RG1	3430367	Leporipoxvirus myxoma	Leporipoxvirus myxoma
79caeb44-6094-e511-814c-000c2902c387	Orthohepadnavirus marmotae	RG1	3431307	Orthohepadnavirus marmotae	Orthohepadnavirus marmotae
7a18164d-7145-ed11-815e-0050568253d3	Influenza A-like virus H18N11	RG2	1249503	H18N11 subtype	Influenza A-like virus H18N11
7a5ef33e-6094-e511-814c-000c2902c387	Vesivirus exanthema	RG1	3433198	Vesivirus exanthema	Vesivirus exanthema
7a955cd3-5f94-e511-814c-000c2902c387	Orthobunyavirus guajaraense	RG2	3052395	Orthobunyavirus guajaraense	Guajara orthobunyavirus
7a955cd3-5f94-e511-814c-000c2902c387	Orthobunyavirus guajaraense	RG2	3052395	Orthobunyavirus guajaraense	Guajara virus
7b1d5fd9-5f94-e511-814c-000c2902c387	Henipavirus hendraense	RG4	3052223	Henipavirus hendraense	Equine morbillivirus
7b1d5fd9-5f94-e511-814c-000c2902c387	Henipavirus hendraense	RG4	3052223	Henipavirus hendraense	Hendra henipavirus
7b1d5fd9-5f94-e511-814c-000c2902c387	Henipavirus hendraense	RG4	3052223	Henipavirus hendraense	Hendra virus
7b6b6c86-03e4-e711-8113-0050568253d3	Deltabaculovirus cunigripalpi	RG1	3047782	Deltabaculovirus cunigripalpi	Culex nigripalpus NPV
7b6b6c86-03e4-e711-8113-0050568253d3	Deltabaculovirus cunigripalpi	RG1	3047782	Deltabaculovirus cunigripalpi	Culex nigripalpus baculovirus
7b6b6c86-03e4-e711-8113-0050568253d3	Deltabaculovirus cunigripalpi	RG1	3047782	Deltabaculovirus cunigripalpi	Culex nigripalpus nucleopolyhedrovirus
7bf1fa38-6094-e511-814c-000c2902c387	Thottimvirus thottapalayamense	RG2	3052789	Thottimvirus thottapalayamense	Thottapalayam orthohantavirus
7bf1fa38-6094-e511-814c-000c2902c387	Thottimvirus thottapalayamense	RG2	3052789	Thottimvirus thottapalayamense	Thottapalayam thottimvirus
7bf1fa38-6094-e511-814c-000c2902c387	Thottimvirus thottapalayamense	RG2	3052789	Thottimvirus thottapalayamense	Thottapalayam virus
7c510c27-6094-e511-814c-000c2902c387	Alajuela orthobunyavirus	RG3	1933181	Alajuela orthobunyavirus	San Juan virus
7c56f016-8bc4-f011-8188-0050568253d3	Deltacoronavirus suis	RG2	3433742	Deltacoronavirus suis	Deltacoronavirus suis
7c967daf-5f94-e511-814c-000c2902c387	Orthopneumovirus bovis	RG1	3050248	Orthopneumovirus bovis	Bovine orthopneumovirus
7c967daf-5f94-e511-814c-000c2902c387	Orthopneumovirus bovis	RG1	3050248	Orthopneumovirus bovis	Bovine respiratory syncytial virus
7e1a1221-6094-e511-814c-000c2902c387	Orthohantavirus puumalaense	RG3	3052493	Orthohantavirus puumalaense	Nephropathia epidemica virus
7e1a1221-6094-e511-814c-000c2902c387	Orthohantavirus puumalaense	RG3	3052493	Orthohantavirus puumalaense	Puumala hantavirus
7e1a1221-6094-e511-814c-000c2902c387	Orthohantavirus puumalaense	RG3	3052493	Orthohantavirus puumalaense	Puumala orthohantavirus
7e1a1221-6094-e511-814c-000c2902c387	Orthohantavirus puumalaense	RG3	3052493	Orthohantavirus puumalaense	Puumala virus
7e7b181b-6094-e511-814c-000c2902c387	Avipoxvirus pigeonpox	RG1	3426552	Avipoxvirus pigeonpox	Avipoxvirus pigeonpox
7e7b181b-6094-e511-814c-000c2902c387	Avipoxvirus pigeonpox	RG1	3426552	Avipoxvirus pigeonpox	Pigeon pox virus
